id,latitude,longitude,road_name,severity,date,time,datetime,weather,vehicle_type,road_risk_level
1,13.064327,77.530941,Airport Road,Minor,2025-03-24,06:00,2025-03-24 06:00:00,Clear,Bus,medium
2,12.939033,77.498966,Bannerghatta Road,Minor,2024-03-31,04:00,2024-03-31 04:00:00,Clear,Car,medium
3,12.936802,77.469957,Bannerghatta Road,Minor,2022-01-27,02:00,2022-01-27 02:00:00,Rain,Truck,medium
4,12.911401,77.624696,Sarjapur Road,Severe,2024-08-06,03:00,2024-08-06 03:00:00,Rain,Truck,medium
5,13.181455,77.704682,Airport Road,Minor,2023-05-21,17:00,2023-05-21 17:00:00,Clear,Auto,medium
6,13.007483,77.745779,Whitefield Main Road,Minor,2023-10-09,03:00,2023-10-09 03:00:00,Rain,Bus,high
7,13.032625,77.614829,Old Madras Road,Minor,2024-06-21,09:00,2024-06-21 09:00:00,Rain,Truck,high
8,12.863932,77.797043,Whitefield Main Road,Severe,2024-07-21,02:00,2024-07-21 02:00:00,Fog,Auto,high
9,12.984625,77.767823,Whitefield Main Road,Fatal,2022-09-21,06:00,2022-09-21 06:00:00,Rain,Bus,high
10,12.954595,77.488507,Bannerghatta Road,Severe,2024-02-25,13:00,2024-02-25 13:00:00,Fog,Car,medium
11,12.941515,77.674347,Marathahalli Bridge Road,Minor,2024-11-14,05:00,2024-11-14 05:00:00,Fog,Auto,high
12,13.045999,77.520041,Airport Road,Fatal,2023-04-24,12:00,2023-04-24 12:00:00,Rain,Truck,medium
13,12.848361,77.433807,Bannerghatta Road,Severe,2022-10-26,07:00,2022-10-26 07:00:00,Clear,Auto,medium
14,13.057964,77.590444,Airport Road,Minor,2023-12-10,20:00,2023-12-10 20:00:00,Clear,Auto,medium
15,12.94701,77.785423,Whitefield Main Road,Minor,2024-11-19,16:00,2024-11-19 16:00:00,Clear,Bike,high
16,12.863873,77.573049,Sarjapur Road,Severe,2023-06-23,14:00,2023-06-23 14:00:00,Clear,Bike,medium
17,12.810804,77.644324,Hosur Road,Minor,2023-04-12,15:00,2023-04-12 15:00:00,Fog,Truck,high
18,12.913562,77.619006,Sarjapur Road,Severe,2023-10-30,19:00,2023-10-30 19:00:00,Rain,Auto,medium
19,12.851488,77.589232,Sarjapur Road,Minor,2024-10-22,21:00,2024-10-22 21:00:00,Fog,Truck,medium
20,13.055067,77.418018,Airport Road,Minor,2023-10-19,11:00,2023-10-19 11:00:00,Rain,Auto,medium
21,13.174917,77.602348,Airport Road,Severe,2023-11-04,21:00,2023-11-04 21:00:00,Rain,Truck,medium
22,13.052805,77.617588,Airport Road,Minor,2024-07-23,14:00,2024-07-23 14:00:00,Rain,Auto,medium
23,12.828296,77.719866,Hosur Road,Severe,2025-01-31,01:00,2025-01-31 01:00:00,Fog,Auto,high
24,13.068595,77.762442,Whitefield Main Road,Fatal,2022-12-22,17:00,2022-12-22 17:00:00,Clear,Truck,high
25,12.94144,77.549761,Bannerghatta Road,Minor,2023-12-08,10:00,2023-12-08 10:00:00,Rain,Bus,medium
26,12.90836,77.563109,Bannerghatta Road,Minor,2023-08-24,21:00,2023-08-24 21:00:00,Rain,Bike,medium
27,13.008178,77.683777,Indiranagar 100ft Road,Severe,2023-05-09,04:00,2023-05-09 04:00:00,Rain,Bus,low
28,13.094302,77.576124,Airport Road,Minor,2023-04-30,01:00,2023-04-30 01:00:00,Clear,Bike,medium
29,12.971567,77.689448,Marathahalli Bridge Road,Minor,2022-07-11,20:00,2022-07-11 20:00:00,Fog,Bus,high
30,13.180613,77.573218,Airport Road,Severe,2024-01-30,02:00,2024-01-30 02:00:00,Fog,Bus,medium
31,12.884671,77.570809,Bannerghatta Road,Minor,2024-04-07,10:00,2024-04-07 10:00:00,Rain,Bike,medium
32,12.898651,77.518953,Bannerghatta Road,Minor,2024-07-11,18:00,2024-07-11 18:00:00,Clear,Bus,medium
33,13.09534,77.402311,Airport Road,Severe,2024-11-27,02:00,2024-11-27 02:00:00,Clear,Truck,medium
34,12.888723,77.598691,Sarjapur Road,Fatal,2023-08-05,23:00,2023-08-05 23:00:00,Rain,Car,medium
35,12.966,77.42648,Bannerghatta Road,Minor,2023-10-28,18:00,2023-10-28 18:00:00,Fog,Truck,medium
