segment_id,road_name,start_lat,start_lon,end_lat,end_lon,risk_level,avg_traffic,speed_limit,lanes
bangalore_Old_Madras_Road_0,Old Madras Road,12.9762,77.6033,12.978200000000001,77.6053,high,4337,40,3
bangalore_Old_Madras_Road_1,Old Madras Road,12.978200000000001,77.6053,12.9802,77.60730000000001,high,2492,50,3
bangalore_Old_Madras_Road_2,Old Madras Road,12.9802,77.60730000000001,12.9822,77.6093,high,4673,80,3
bangalore_Old_Madras_Road_3,Old Madras Road,12.9822,77.6093,12.9842,77.6113,high,4228,40,3
bangalore_Old_Madras_Road_4,Old Madras Road,12.9842,77.6113,12.9862,77.61330000000001,high,3587,40,2
bangalore_Old_Madras_Road_5,Old Madras Road,12.9862,77.61330000000001,12.9882,77.6153,high,3146,50,3
bangalore_Old_Madras_Road_6,Old Madras Road,12.9882,77.6153,12.9902,77.6173,high,2375,50,2
bangalore_Old_Madras_Road_7,Old Madras Road,12.9902,77.6173,12.9922,77.61930000000001,high,922,50,4
bangalore_Old_Madras_Road_8,Old Madras Road,12.9922,77.61930000000001,12.994200000000001,77.6213,high,4207,40,4
bangalore_Hosur_Road_0,Hosur Road,12.8456,77.6603,12.8476,77.6623,high,1856,50,3
bangalore_Hosur_Road_1,Hosur Road,12.8476,77.6623,12.849599999999999,77.66430000000001,high,1101,50,3
bangalore_Hosur_Road_2,Hosur Road,12.849599999999999,77.66430000000001,12.8516,77.6663,high,1035,50,6
bangalore_Hosur_Road_3,Hosur Road,12.8516,77.6663,12.853599999999998,77.6683,high,918,80,4
bangalore_Hosur_Road_4,Hosur Road,12.853599999999998,77.6683,12.855599999999999,77.67030000000001,high,1021,50,3
bangalore_Hosur_Road_5,Hosur Road,12.855599999999999,77.67030000000001,12.8576,77.6723,high,3669,80,2
bangalore_Hosur_Road_6,Hosur Road,12.8576,77.6723,12.859599999999999,77.6743,high,3477,60,6
bangalore_Hosur_Road_7,Hosur Road,12.859599999999999,77.6743,12.8616,77.67630000000001,high,2777,60,3
bangalore_Hosur_Road_8,Hosur Road,12.8616,77.67630000000001,12.8636,77.67830000000001,high,4566,80,6
bangalore_Hosur_Road_9,Hosur Road,12.8636,77.67830000000001,12.865599999999999,77.6803,high,1458,60,6
bangalore_Hosur_Road_10,Hosur Road,12.865599999999999,77.6803,12.8676,77.68230000000001,high,4060,50,3
bangalore_Hosur_Road_11,Hosur Road,12.8676,77.68230000000001,12.869599999999998,77.68430000000001,high,4804,60,6
bangalore_Outer_Ring_Road_0,Outer Ring Road,12.9121,77.6446,12.914100000000001,77.64659999999999,high,991,80,4
