id,latitude,longitude,road_name,severity,date,time,datetime,weather,vehicle_type,road_risk_level
1,30.787805,76.847507,Madhya Marg,Minor,2025-03-30,11:00,2025-03-30 11:00:00,Fog,Truck,low
2,30.786617,76.733947,Madhya Marg,Severe,2023-05-07,14:00,2023-05-07 14:00:00,Clear,Auto,low
3,30.651926,76.876892,Dakshin Marg,Minor,2022-03-23,13:00,2022-03-23 13:00:00,Fog,Auto,medium
4,30.721892,76.711388,Dakshin Marg,Severe,2025-02-09,18:00,2025-02-09 18:00:00,Rain,Auto,medium
5,30.772308,76.768413,Madhya Marg,Minor,2024-03-18,08:00,2024-03-18 08:00:00,Clear,Auto,low
6,30.629812,76.765481,Dakshin Marg,Minor,2024-02-04,02:00,2024-02-04 02:00:00,Fog,Car,medium
7,30.79305,76.864728,Madhya Marg,Minor,2023-12-21,04:00,2023-12-21 04:00:00,Clear,Auto,low
8,30.739178,76.722246,Dakshin Marg,Fatal,2023-07-21,09:00,2023-07-21 09:00:00,Rain,Car,medium
9,30.75772,76.718682,Madhya Marg,Severe,2022-11-01,00:00,2022-11-01 00:00:00,Rain,Bus,low
10,30.774779,76.862232,Madhya Marg,Severe,2025-04-11,11:00,2025-04-11 11:00:00,Rain,Truck,low
11,30.790067,76.805399,Madhya Marg,Severe,2024-09-30,03:00,2024-09-30 03:00:00,Rain,Auto,low
12,30.774233,76.72531,Madhya Marg,Severe,2023-09-07,00:00,2023-09-07 00:00:00,Clear,Bus,low
13,30.674067,76.774623,Dakshin Marg,Severe,2024-04-23,21:00,2024-04-23 21:00:00,Clear,Bus,medium
14,30.78901,76.887359,Madhya Marg,Minor,2022-05-02,19:00,2022-05-02 19:00:00,Clear,Truck,low
15,30.658767,76.836989,Dakshin Marg,Severe,2024-03-01,14:00,2024-03-01 14:00:00,Rain,Bike,medium
16,30.645926,76.791403,Dakshin Marg,Severe,2025-01-23,17:00,2025-01-23 17:00:00,Fog,Auto,medium
17,30.662289,76.860184,Dakshin Marg,Severe,2024-08-03,07:00,2024-08-03 07:00:00,Clear,Auto,medium
18,30.729891,76.786151,Madhya Marg,Minor,2022-04-17,06:00,2022-04-17 06:00:00,Fog,Truck,low
19,30.703228,76.745141,Dakshin Marg,Minor,2022-04-20,22:00,2022-04-20 22:00:00,Rain,Bus,medium
20,30.780406,76.759015,Madhya Marg,Severe,2024-11-28,19:00,2024-11-28 19:00:00,Rain,Bus,low
21,30.612508,76.8941,Dakshin Marg,Minor,2024-09-07,11:00,2024-09-07 11:00:00,Rain,Truck,medium
22,30.669447,76.798384,Dakshin Marg,Minor,2024-07-14,13:00,2024-07-14 13:00:00,Fog,Bike,medium
23,30.749547,76.70627,Dakshin Marg,Minor,2024-01-17,05:00,2024-01-17 05:00:00,Fog,Bike,medium
24,30.771578,76.798125,Madhya Marg,Fatal,2023-09-24,20:00,2023-09-24 20:00:00,Rain,Bus,low
25,30.612831,76.810119,Dakshin Marg,Minor,2024-11-23,22:00,2024-11-23 22:00:00,Rain,Auto,medium
26,30.65561,76.831544,Dakshin Marg,Fatal,2024-04-25,03:00,2024-04-25 03:00:00,Rain,Bike,medium
27,30.677187,76.727473,Dakshin Marg,Fatal,2025-03-30,04:00,2025-03-30 04:00:00,Rain,Auto,medium
28,30.788551,76.774195,Madhya Marg,Minor,2022-01-22,07:00,2022-01-22 07:00:00,Rain,Auto,low
29,30.78977,76.791081,Madhya Marg,Minor,2024-11-11,04:00,2024-11-11 04:00:00,Clear,Car,low
30,30.786188,76.807627,Madhya Marg,Minor,2023-03-28,22:00,2023-03-28 22:00:00,Rain,Bus,low
31,30.784319,76.811367,Madhya Marg,Severe,2024-08-19,08:00,2024-08-19 08:00:00,Clear,Auto,low
32,30.650517,76.789449,Dakshin Marg,Minor,2022-10-21,00:00,2022-10-21 00:00:00,Clear,Car,medium
33,30.706127,76.870146,Madhya Marg,Severe,2023-09-04,19:00,2023-09-04 19:00:00,Rain,Auto,low
34,30.736284,76.88423,Madhya Marg,Minor,2022-05-07,18:00,2022-05-07 18:00:00,Rain,Car,low
35,30.75305,76.886282,Madhya Marg,Severe,2024-10-10,17:00,2024-10-10 17:00:00,Fog,Truck,low
36,30.621868,76.767922,Dakshin Marg,Severe,2024-02-18,14:00,2024-02-18 14:00:00,Fog,Auto,medium
37,30.722768,76.846181,Madhya Marg,Severe,2023-05-04,04:00,2023-05-04 04:00:00,Fog,Auto,low
38,30.726192,76.756446,Dakshin Marg,Minor,2022-12-18,08:00,2022-12-18 08:00:00,Clear,Bike,medium
39,30.6107,76.703665,Dakshin Marg,Minor,2024-07-11,15:00,2024-07-11 15:00:00,Fog,Auto,medium
40,30.63764,76.825478,Dakshin Marg,Severe,2023-03-23,14:00,2023-03-23 14:00:00,Fog,Auto,medium
41,30.734981,76.773993,Madhya Marg,Minor,2024-09-07,14:00,2024-09-07 14:00:00,Rain,Bike,low
42,30.711487,76.846221,Madhya Marg,Fatal,2023-11-27,00:00,2023-11-27 00:00:00,Clear,Auto,low
43,30.671217,76.878695,Dakshin Marg,Minor,2025-02-12,17:00,2025-02-12 17:00:00,Fog,Car,medium
44,30.600709,76.788381,Dakshin Marg,Minor,2023-04-12,17:00,2023-04-12 17:00:00,Fog,Bike,medium
45,30.615981,76.703249,Dakshin Marg,Fatal,2023-10-07,01:00,2023-10-07 01:00:00,Rain,Bus,medium
46,30.689908,76.86273,Madhya Marg,Minor,2023-05-08,11:00,2023-05-08 11:00:00,Rain,Truck,low
47,30.632006,76.795028,Dakshin Marg,Minor,2024-10-24,22:00,2024-10-24 22:00:00,Fog,Bus,medium
48,30.616643,76.869914,Dakshin Marg,Minor,2022-02-06,12:00,2022-02-06 12:00:00,Rain,Car,medium
49,30.666974,76.757047,Dakshin Marg,Minor,2023-07-30,09:00,2023-07-30 09:00:00,Fog,Car,medium
50,30.655634,76.703463,Dakshin Marg,Fatal,2024-07-31,12:00,2024-07-31 12:00:00,Fog,Truck,medium
51,30.767989,76.78677,Madhya Marg,Minor,2023-03-02,11:00,2023-03-02 11:00:00,Clear,Auto,low
52,30.751536,76.828455,Madhya Marg,Minor,2022-04-11,21:00,2022-04-11 21:00:00,Fog,Bus,low
53,30.725966,76.873965,Madhya Marg,Severe,2024-03-24,07:00,2024-03-24 07:00:00,Rain,Truck,low
54,30.655311,76.714474,Dakshin Marg,Fatal,2023-02-19,15:00,2023-02-19 15:00:00,Fog,Bike,medium
55,30.796737,76.773533,Madhya Marg,Severe,2024-06-24,14:00,2024-06-24 14:00:00,Rain,Bus,low
56,30.658244,76.853188,Dakshin Marg,Minor,2024-06-24,15:00,2024-06-24 15:00:00,Fog,Bus,medium
57,30.711408,76.707882,Dakshin Marg,Minor,2025-02-16,13:00,2025-02-16 13:00:00,Clear,Car,medium
58,30.673074,76.772135,Dakshin Marg,Severe,2023-01-06,18:00,2023-01-06 18:00:00,Rain,Bus,medium
59,30.701537,76.755897,Dakshin Marg,Minor,2023-01-08,14:00,2023-01-08 14:00:00,Clear,Truck,medium
60,30.789743,76.765097,Madhya Marg,Severe,2024-08-14,13:00,2024-08-14 13:00:00,Fog,Bike,low
61,30.674064,76.776373,Dakshin Marg,Minor,2022-04-05,21:00,2022-04-05 21:00:00,Rain,Bike,medium
