id,latitude,longitude,road_name,severity,date,time,datetime,weather,vehicle_type,road_risk_level
1,12.965155,80.283313,OMR,Minor,2024-01-25,16:00,2024-01-25 16:00:00,Clear,Car,medium
2,13.161404,80.197819,Anna Salai,Fatal,2023-09-26,21:00,2023-09-26 21:00:00,Fog,Bike,high
3,12.98416,80.153974,Mount Road,Minor,2023-07-26,23:00,2023-07-26 23:00:00,Clear,Car,medium
4,12.964354,80.262971,OMR,Severe,2024-10-11,13:00,2024-10-11 13:00:00,Clear,Truck,medium
5,13.171632,80.200311,Anna Salai,Minor,2023-09-05,05:00,2023-09-05 05:00:00,Rain,Truck,high
6,12.941766,80.271836,OMR,Fatal,2023-02-19,18:00,2023-02-19 18:00:00,Clear,Truck,medium
7,13.174093,80.150346,Anna Salai,Minor,2025-01-13,13:00,2025-01-13 13:00:00,Clear,Truck,high
8,12.959773,80.153419,Mount Road,Minor,2022-06-28,02:00,2022-06-28 02:00:00,Clear,Car,medium
9,12.985135,80.226248,Mount Road,Fatal,2025-03-28,23:00,2025-03-28 23:00:00,Rain,Truck,medium
10,12.852053,80.121615,ECR,Severe,2023-05-13,14:00,2023-05-13 14:00:00,Rain,Car,high
11,13.017299,80.224813,Mount Road,Severe,2024-04-02,00:00,2024-04-02 00:00:00,Fog,Car,medium
12,12.97141,80.197487,Mount Road,Severe,2023-12-11,07:00,2023-12-11 07:00:00,Rain,Car,medium
13,12.919435,80.207627,OMR,Fatal,2023-03-28,15:00,2023-03-28 15:00:00,Fog,Truck,medium
14,12.93952,80.153093,OMR,Minor,2023-12-07,14:00,2023-12-07 14:00:00,Rain,Auto,medium
15,12.810721,80.19735,ECR,Minor,2023-08-05,18:00,2023-08-05 18:00:00,Fog,Auto,high
16,13.10543,80.11737,Mount Road,Minor,2023-12-20,04:00,2023-12-20 04:00:00,Clear,Auto,medium
17,12.812744,80.226751,ECR,Severe,2022-09-07,20:00,2022-09-07 20:00:00,Fog,Bike,high
18,13.126298,80.273119,Anna Salai,Severe,2024-07-07,09:00,2024-07-07 09:00:00,Clear,Bike,high
19,12.829772,80.266893,ECR,Minor,2023-11-23,05:00,2023-11-23 05:00:00,Rain,Car,high
20,12.917829,80.107956,OMR,Severe,2022-09-09,00:00,2022-09-09 00:00:00,Rain,Bike,medium
21,13.023148,80.267046,Anna Salai,Severe,2023-10-24,22:00,2023-10-24 22:00:00,Clear,Bus,high
22,12.910539,80.183088,OMR,Minor,2023-07-08,12:00,2023-07-08 12:00:00,Clear,Bus,medium
23,13.099257,80.226182,Anna Salai,Severe,2024-09-21,08:00,2024-09-21 08:00:00,Rain,Bus,high
24,13.145041,80.133716,Anna Salai,Severe,2022-05-06,07:00,2022-05-06 07:00:00,Fog,Auto,high
25,13.196352,80.138535,Anna Salai,Minor,2023-02-04,07:00,2023-02-04 07:00:00,Fog,Bike,high
26,13.152998,80.258685,Anna Salai,Severe,2024-09-15,22:00,2024-09-15 22:00:00,Fog,Auto,high
27,12.921984,80.115306,OMR,Severe,2023-03-24,18:00,2023-03-24 18:00:00,Clear,Bike,medium
28,12.841819,80.258805,ECR,Minor,2022-05-06,00:00,2022-05-06 00:00:00,Rain,Bike,high
29,12.891896,80.227598,OMR,Minor,2022-01-21,18:00,2022-01-21 18:00:00,Clear,Bike,medium
30,13.057219,80.184551,Mount Road,Fatal,2022-09-18,06:00,2022-09-18 06:00:00,Rain,Bike,medium
31,12.894547,80.239536,OMR,Minor,2025-03-03,03:00,2025-03-03 03:00:00,Clear,Bus,medium
32,12.942775,80.266239,OMR,Minor,2023-09-11,00:00,2023-09-11 00:00:00,Fog,Truck,medium
33,12.861288,80.167097,ECR,Minor,2022-01-18,02:00,2022-01-18 02:00:00,Rain,Car,high
34,13.059482,80.132694,Mount Road,Severe,2022-12-30,19:00,2022-12-30 19:00:00,Fog,Bike,medium
35,12.931329,80.177908,OMR,Minor,2024-09-28,22:00,2024-09-28 22:00:00,Rain,Car,medium
36,12.931505,80.204867,OMR,Severe,2023-05-01,18:00,2023-05-01 18:00:00,Rain,Bus,medium
37,12.826312,80.207278,ECR,Minor,2022-01-14,03:00,2022-01-14 03:00:00,Clear,Truck,high
38,13.101426,80.265354,Anna Salai,Minor,2022-11-27,09:00,2022-11-27 09:00:00,Rain,Bike,high
39,13.104646,80.294344,Anna Salai,Severe,2024-05-23,07:00,2024-05-23 07:00:00,Fog,Bike,high
40,12.979934,80.258425,Mount Road,Severe,2022-06-29,16:00,2022-06-29 16:00:00,Fog,Auto,medium
41,13.07404,80.152144,Mount Road,Minor,2022-12-30,20:00,2022-12-30 20:00:00,Clear,Bike,medium
42,12.911957,80.196891,OMR,Minor,2023-05-21,18:00,2023-05-21 18:00:00,Rain,Bike,medium
43,12.968853,80.196115,Mount Road,Severe,2024-10-15,01:00,2024-10-15 01:00:00,Fog,Truck,medium
44,13.032356,80.200645,Mount Road,Minor,2022-06-01,13:00,2022-06-01 13:00:00,Clear,Bus,medium
45,12.865666,80.225481,ECR,Minor,2023-12-06,02:00,2023-12-06 02:00:00,Rain,Bus,high
46,13.125687,80.288644,Anna Salai,Severe,2022-04-07,14:00,2022-04-07 14:00:00,Fog,Bike,high
47,13.030792,80.290558,Anna Salai,Minor,2023-08-10,09:00,2023-08-10 09:00:00,Fog,Car,high
48,13.158922,80.282375,Anna Salai,Severe,2022-11-14,09:00,2022-11-14 09:00:00,Clear,Bus,high
49,13.087316,80.226797,Anna Salai,Severe,2022-04-26,06:00,2022-04-26 06:00:00,Fog,Car,high
50,12.934717,80.259504,OMR,Severe,2022-10-04,02:00,2022-10-04 02:00:00,Clear,Bus,medium
51,12.865026,80.224187,ECR,Minor,2025-04-10,21:00,2025-04-10 21:00:00,Clear,Bike,high
52,12.979773,80.125904,Mount Road,Minor,2024-11-01,15:00,2024-11-01 15:00:00,Fog,Truck,medium
53,12.880956,80.246202,OMR,Fatal,2025-03-21,19:00,2025-03-21 19:00:00,Fog,Auto,medium
54,12.952895,80.171875,OMR,Minor,2025-01-17,19:00,2025-01-17 19:00:00,Rain,Bike,medium
55,12.987532,80.20733,Mount Road,Severe,2023-09-26,07:00,2023-09-26 07:00:00,Rain,Car,medium
56,13.147207,80.153679,Anna Salai,Minor,2023-03-13,06:00,2023-03-13 06:00:00,Rain,Auto,high
57,13.114273,80.249777,Anna Salai,Severe,2022-08-28,20:00,2022-08-28 20:00:00,Clear,Bike,high
58,13.15716,80.108805,Anna Salai,Minor,2025-03-19,14:00,2025-03-19 14:00:00,Rain,Bike,high
59,13.144941,80.121944,Anna Salai,Minor,2023-09-28,04:00,2023-09-28 04:00:00,Fog,Bus,high
60,12.910369,80.297392,OMR,Severe,2024-09-21,06:00,2024-09-21 06:00:00,Clear,Truck,medium
61,13.193579,80.177155,Anna Salai,Severe,2024-03-01,06:00,2024-03-01 06:00:00,Clear,Bike,high
62,12.808568,80.17975,ECR,Minor,2023-11-10,16:00,2023-11-10 16:00:00,Clear,Car,high
63,13.171356,80.145615,Anna Salai,Minor,2022-09-09,05:00,2022-09-09 05:00:00,Clear,Car,high
64,13.087089,80.113956,Mount Road,Minor,2023-04-18,09:00,2023-04-18 09:00:00,Rain,Auto,medium
65,12.994972,80.274334,Mount Road,Severe,2022-11-03,01:00,2022-11-03 01:00:00,Clear,Bus,medium
66,12.822978,80.147682,ECR,Minor,2022-11-03,01:00,2022-11-03 01:00:00,Rain,Auto,high
67,12.929043,80.164165,OMR,Minor,2023-05-28,00:00,2023-05-28 00:00:00,Fog,Car,medium
68,12.873824,80.12014,ECR,Minor,2024-02-12,02:00,2024-02-12 02:00:00,Clear,Bike,high
69,13.125771,80.140205,Anna Salai,Minor,2022-02-09,23:00,2022-02-09 23:00:00,Rain,Auto,high
70,13.109903,80.151201,Anna Salai,Minor,2022-03-29,19:00,2022-03-29 19:00:00,Rain,Bike,high
71,12.988869,80.247665,Mount Road,Fatal,2023-11-21,20:00,2023-11-21 20:00:00,Fog,Bike,medium
72,12.839362,80.263658,ECR,Fatal,2025-02-05,07:00,2025-02-05 07:00:00,Rain,Auto,high
73,13.077407,80.263691,Anna Salai,Minor,2023-03-05,11:00,2023-03-05 11:00:00,Rain,Car,high
74,13.004738,80.164282,Mount Road,Minor,2023-11-28,14:00,2023-11-28 14:00:00,Rain,Car,medium
75,12.973499,80.109124,Mount Road,Severe,2023-09-28,09:00,2023-09-28 09:00:00,Fog,Bus,medium
76,12.855499,80.235898,ECR,Fatal,2025-02-22,04:00,2025-02-22 04:00:00,Clear,Auto,high
77,12.885732,80.28941,OMR,Minor,2023-12-08,22:00,2023-12-08 22:00:00,Clear,Truck,medium
78,12.817504,80.136037,ECR,Minor,2022-09-10,17:00,2022-09-10 17:00:00,Rain,Auto,high
79,13.038197,80.150161,Mount Road,Minor,2022-11-28,05:00,2022-11-28 05:00:00,Fog,Bus,medium
80,13.194003,80.175637,Anna Salai,Minor,2023-08-05,02:00,2023-08-05 02:00:00,Rain,Auto,high
81,12.82867,80.226388,ECR,Fatal,2025-03-16,14:00,2025-03-16 14:00:00,Clear,Bike,high
82,13.065036,80.225858,Anna Salai,Minor,2022-11-23,14:00,2022-11-23 14:00:00,Clear,Bike,high
83,13.195316,80.29898,Anna Salai,Minor,2022-02-02,13:00,2022-02-02 13:00:00,Fog,Bike,high
84,12.935117,80.189321,OMR,Minor,2022-03-13,01:00,2022-03-13 01:00:00,Fog,Auto,medium
85,12.860229,80.110222,ECR,Severe,2024-04-17,09:00,2024-04-17 09:00:00,Fog,Car,high
86,12.885873,80.174002,OMR,Minor,2022-11-03,16:00,2022-11-03 16:00:00,Rain,Truck,medium
87,12.995703,80.246007,Mount Road,Minor,2024-07-14,01:00,2024-07-14 01:00:00,Rain,Truck,medium
88,13.121114,80.196258,Anna Salai,Minor,2023-06-07,08:00,2023-06-07 08:00:00,Clear,Auto,high
