segment_id,road_name,start_lat,start_lon,end_lat,end_lon,risk_level,avg_traffic,speed_limit,lanes
chennai_Anna_Salai_0,Anna Salai,13.0604,80.2608,13.0624,80.2628,high,698,80,2
chennai_Anna_Salai_1,Anna Salai,13.0624,80.2628,13.0644,80.26480000000001,high,3218,60,2
chennai_Anna_Salai_2,Anna Salai,13.0644,80.26480000000001,13.0664,80.2668,high,2903,50,4
chennai_Anna_Salai_3,Anna Salai,13.0664,80.2668,13.068399999999999,80.2688,high,1269,40,6
chennai_Anna_Salai_4,Anna Salai,13.068399999999999,80.2688,13.0704,80.27080000000001,high,4875,80,2
chennai_Anna_Salai_5,Anna Salai,13.0704,80.27080000000001,13.0724,80.2728,high,512,60,6
chennai_Anna_Salai_6,Anna Salai,13.0724,80.2728,13.074399999999999,80.2748,high,2530,60,2
chennai_Anna_Salai_7,Anna Salai,13.074399999999999,80.2748,13.0764,80.27680000000001,high,1564,40,4
chennai_OMR_0,OMR,12.9229,80.23,12.924900000000001,80.232,medium,1644,60,3
chennai_OMR_1,OMR,12.924900000000001,80.232,12.9269,80.23400000000001,medium,1277,80,4
chennai_OMR_2,OMR,12.9269,80.23400000000001,12.9289,80.236,medium,1405,80,3
chennai_OMR_3,OMR,12.9289,80.236,12.9309,80.238,medium,4597,50,3
chennai_OMR_4,OMR,12.9309,80.238,12.9329,80.24000000000001,medium,3407,40,6
chennai_OMR_5,OMR,12.9329,80.24000000000001,12.9349,80.242,medium,786,40,4
chennai_OMR_6,OMR,12.9349,80.242,12.9369,80.244,medium,2684,50,2
chennai_OMR_7,OMR,12.9369,80.244,12.9389,80.24600000000001,medium,3580,80,6
chennai_OMR_8,OMR,12.9389,80.24600000000001,12.940900000000001,80.248,medium,2491,40,3
chennai_OMR_9,OMR,12.940900000000001,80.248,12.9429,80.25,medium,2020,40,2
chennai_ECR_0,ECR,12.8228,80.2241,12.824800000000002,80.2261,high,1160,80,6
chennai_ECR_1,ECR,12.824800000000002,80.2261,12.8268,80.22810000000001,high,3397,40,2
chennai_ECR_2,ECR,12.8268,80.22810000000001,12.828800000000001,80.23010000000001,high,2505,80,6
chennai_ECR_3,ECR,12.828800000000001,80.23010000000001,12.8308,80.2321,high,4808,80,6
chennai_ECR_4,ECR,12.8308,80.2321,12.8328,80.23410000000001,high,1345,60,4
chennai_ECR_5,ECR,12.8328,80.23410000000001,12.834800000000001,80.23610000000001,high,1209,80,4
chennai_ECR_6,ECR,12.834800000000001,80.23610000000001,12.8368,80.2381,high,4012,40,4
chennai_ECR_7,ECR,12.8368,80.2381,12.8388,80.24010000000001,high,972,60,4
chennai_ECR_8,ECR,12.8388,80.24010000000001,12.840800000000002,80.24210000000001,high,3699,80,3
chennai_ECR_9,ECR,12.840800000000002,80.24210000000001,12.8428,80.2441,high,1152,60,4
chennai_Mount_Road_0,Mount Road,13.0069,80.2201,13.0089,80.2221,medium,2047,50,3
chennai_Mount_Road_1,Mount Road,13.0089,80.2221,13.0109,80.2241,medium,2887,50,4
chennai_Mount_Road_2,Mount Road,13.0109,80.2241,13.0129,80.2261,medium,3394,60,4
chennai_Mount_Road_3,Mount Road,13.0129,80.2261,13.014899999999999,80.2281,medium,1993,50,3
chennai_Mount_Road_4,Mount Road,13.014899999999999,80.2281,13.0169,80.23010000000001,medium,1640,60,3
chennai_Mount_Road_5,Mount Road,13.0169,80.23010000000001,13.0189,80.2321,medium,3387,60,2
chennai_Mount_Road_6,Mount Road,13.0189,80.2321,13.0209,80.2341,medium,2102,50,3
chennai_Mount_Road_7,Mount Road,13.0209,80.2341,13.0229,80.23610000000001,medium,2418,50,2
chennai_Mount_Road_8,Mount Road,13.0229,80.23610000000001,13.0249,80.2381,medium,3912,40,4
chennai_Mount_Road_9,Mount Road,13.0249,80.2381,13.0269,80.2401,medium,1789,60,4
chennai_Mount_Road_10,Mount Road,13.0269,80.2401,13.0289,80.24210000000001,medium,990,60,6
