id,latitude,longitude,road_name,severity,date,time,datetime,weather,vehicle_type,road_risk_level
1,28.79949,77.049666,NH-44,Fatal,2024-07-29,08:00,2024-07-29 08:00:00,Clear,Bus,high
2,28.528171,77.003017,MG Road,Minor,2023-03-26,01:00,2023-03-26 01:00:00,Clear,Bike,medium
3,28.631253,77.168852,Ring Road,Severe,2022-11-02,14:00,2022-11-02 14:00:00,Rain,Auto,high
4,28.494878,77.089734,MG Road,Minor,2025-04-08,17:00,2025-04-08 17:00:00,Fog,Bike,medium
5,28.767686,77.102505,NH-44,Minor,2022-06-02,17:00,2022-06-02 17:00:00,Fog,Car,high
6,28.513789,77.26605,Mathura Road,Minor,2024-01-02,14:00,2024-01-02 14:00:00,Fog,Truck,medium
7,28.683622,77.273941,G T Road,Severe,2023-02-06,15:00,2023-02-06 15:00:00,Rain,Auto,high
8,28.502883,77.165457,Mathura Road,Minor,2022-11-17,06:00,2022-11-17 06:00:00,Fog,Bike,medium
9,28.463133,76.976698,MG Road,Severe,2024-12-31,09:00,2024-12-31 09:00:00,Rain,Bike,medium
10,28.47365,77.060874,MG Road,Fatal,2023-03-24,11:00,2023-03-24 11:00:00,Clear,Truck,medium
11,28.813866,77.149528,NH-44,Minor,2025-01-31,21:00,2025-01-31 21:00:00,Fog,Bus,high
12,28.838921,76.991482,NH-44,Minor,2025-02-16,22:00,2025-02-16 22:00:00,Clear,Truck,high
13,28.519189,76.859451,MG Road,Minor,2024-02-03,02:00,2024-02-03 02:00:00,Rain,Auto,medium
14,28.8028,76.835013,NH-44,Fatal,2022-06-27,15:00,2022-06-27 15:00:00,Rain,Bus,high
15,28.654528,76.925723,Dwarka Expressway,Severe,2022-10-05,02:00,2022-10-05 02:00:00,Rain,Car,medium
16,28.834402,77.209459,NH-44,Fatal,2022-12-23,12:00,2022-12-23 12:00:00,Fog,Car,high
17,28.671166,77.064188,Outer Ring Road,Minor,2023-02-25,03:00,2023-02-25 03:00:00,Clear,Bus,high
18,28.492703,76.815886,MG Road,Severe,2022-04-12,07:00,2022-04-12 07:00:00,Fog,Bus,medium
19,28.555907,77.177935,Mathura Road,Minor,2022-09-02,21:00,2022-09-02 21:00:00,Fog,Truck,medium
20,28.596361,77.02673,Dwarka Expressway,Minor,2023-02-22,00:00,2023-02-22 00:00:00,Fog,Bike,medium
21,28.497753,76.936211,MG Road,Minor,2022-12-27,22:00,2022-12-27 22:00:00,Fog,Truck,medium
22,28.694773,77.138622,Rohtak Road,Minor,2023-02-25,18:00,2023-02-25 18:00:00,Rain,Auto,high
23,28.570297,77.25409,Lodhi Road,Minor,2023-04-12,10:00,2023-04-12 10:00:00,Fog,Bus,low
24,28.691978,77.169403,Rohtak Road,Severe,2023-01-03,21:00,2023-01-03 21:00:00,Fog,Bus,high
25,28.42531,76.842778,MG Road,Minor,2024-12-22,06:00,2024-12-22 06:00:00,Fog,Car,medium
26,28.403747,76.847221,MG Road,Severe,2024-04-27,02:00,2024-04-27 02:00:00,Rain,Bike,medium
27,28.472435,77.19605,Mathura Road,Minor,2022-05-16,01:00,2022-05-16 01:00:00,Fog,Bus,medium
28,28.404569,76.804829,MG Road,Fatal,2022-06-16,11:00,2022-06-16 11:00:00,Clear,Auto,medium
29,28.656319,77.232117,G T Road,Minor,2022-12-08,09:00,2022-12-08 09:00:00,Clear,Car,high
30,28.505662,76.960158,MG Road,Fatal,2024-09-05,11:00,2024-09-05 11:00:00,Fog,Bike,medium
31,28.867743,76.854527,NH-44,Fatal,2023-04-24,07:00,2023-04-24 07:00:00,Fog,Bike,high
32,28.824805,77.267512,G T Road,Minor,2022-05-07,16:00,2022-05-07 16:00:00,Clear,Truck,high
33,28.743818,77.084342,NH-44,Severe,2024-06-14,15:00,2024-06-14 15:00:00,Rain,Truck,high
34,28.650713,76.817058,Dwarka Expressway,Minor,2024-02-25,09:00,2024-02-25 09:00:00,Rain,Truck,medium
35,28.819006,76.807353,NH-44,Minor,2025-01-19,00:00,2025-01-19 00:00:00,Rain,Auto,high
36,28.4982,77.020293,MG Road,Minor,2024-10-27,15:00,2024-10-27 15:00:00,Rain,Car,medium
37,28.89123,77.289334,NH-44,Minor,2024-02-03,07:00,2024-02-03 07:00:00,Clear,Car,high
38,28.654726,76.86286,Dwarka Expressway,Severe,2023-07-06,02:00,2023-07-06 02:00:00,Clear,Auto,medium
39,28.544843,76.914438,Dwarka Expressway,Severe,2024-02-25,19:00,2024-02-25 19:00:00,Clear,Truck,medium
40,28.896351,76.909336,NH-44,Minor,2022-06-19,11:00,2022-06-19 11:00:00,Fog,Bike,high
