segment_id,road_name,start_lat,start_lon,end_lat,end_lon,risk_level,avg_traffic,speed_limit,lanes
delhi_Outer_Ring_Road_0,Outer Ring Road,28.7041,77.1025,28.7061,77.1045,high,2248,80,2
delhi_Outer_Ring_Road_1,Outer Ring Road,28.7061,77.1045,28.7081,77.10650000000001,high,3291,40,2
delhi_Outer_Ring_Road_2,Outer Ring Road,28.7081,77.10650000000001,28.7101,77.1085,high,4752,40,3
delhi_Outer_Ring_Road_3,Outer Ring Road,28.7101,77.1085,28.7121,77.1105,high,1931,50,3
delhi_Outer_Ring_Road_4,Outer Ring Road,28.7121,77.1105,28.714100000000002,77.11250000000001,high,4907,50,3
delhi_Outer_Ring_Road_5,Outer Ring Road,28.714100000000002,77.11250000000001,28.7161,77.1145,high,4938,60,4
delhi_Outer_Ring_Road_6,Outer Ring Road,28.7161,77.1145,28.7181,77.1165,high,813,50,6
delhi_Outer_Ring_Road_7,Outer Ring Road,28.7181,77.1165,28.7201,77.11850000000001,high,4709,50,4
delhi_Outer_Ring_Road_8,Outer Ring Road,28.7201,77.11850000000001,28.7221,77.1205,high,4989,50,6
delhi_Outer_Ring_Road_9,Outer Ring Road,28.7221,77.1205,28.7241,77.1225,high,4278,50,3
delhi_Outer_Ring_Road_10,Outer Ring Road,28.7241,77.1225,28.7261,77.12450000000001,high,3530,40,6
delhi_Outer_Ring_Road_11,Outer Ring Road,28.7261,77.12450000000001,28.7281,77.12650000000001,high,4408,50,2
delhi_Ring_Road_0,Ring Road,28.6315,77.2167,28.633499999999998,77.2187,high,787,60,6
delhi_Ring_Road_1,Ring Road,28.633499999999998,77.2187,28.6355,77.22070000000001,high,1837,80,6
delhi_Ring_Road_2,Ring Road,28.6355,77.22070000000001,28.6375,77.2227,high,4254,80,4
delhi_Ring_Road_3,Ring Road,28.6375,77.2227,28.639499999999998,77.2247,high,4864,80,2
delhi_Ring_Road_4,Ring Road,28.639499999999998,77.2247,28.6415,77.22670000000001,high,3127,60,6
delhi_Ring_Road_5,Ring Road,28.6415,77.22670000000001,28.6435,77.2287,high,4059,40,6
delhi_Ring_Road_6,Ring Road,28.6435,77.2287,28.6455,77.2307,high,4939,50,6
delhi_Ring_Road_7,Ring Road,28.6455,77.2307,28.647499999999997,77.23270000000001,high,1173,60,6
delhi_NH-44_0,NH-44,28.7496,77.067,28.7516,77.06899999999999,high,4468,80,4
delhi_NH-44_1,NH-44,28.7516,77.06899999999999,28.753600000000002,77.071,high,1730,40,2
delhi_NH-44_2,NH-44,28.753600000000002,77.071,28.7556,77.073,high,4438,60,6
delhi_NH-44_3,NH-44,28.7556,77.073,28.7576,77.07499999999999,high,3147,80,3
delhi_NH-44_4,NH-44,28.7576,77.07499999999999,28.759600000000002,77.077,high,1577,60,2
delhi_NH-44_5,NH-44,28.759600000000002,77.077,28.7616,77.079,high,4870,60,3
delhi_NH-44_6,NH-44,28.7616,77.079,28.7636,77.08099999999999,high,1472,80,4
delhi_NH-44_7,NH-44,28.7636,77.08099999999999,28.7656,77.083,high,3050,80,3
delhi_NH-44_8,NH-44,28.7656,77.083,28.7676,77.085,high,1806,50,4
