id,latitude,longitude,road_name,severity,date,time,datetime,weather,vehicle_type,road_risk_level
1,17.422447,78.464881,Necklace Road,Minor,2022-02-25,03:00,2022-02-25 03:00:00,Rain,Truck,low
2,17.382285,78.551704,Necklace Road,Severe,2023-08-03,11:00,2023-08-03 11:00:00,Rain,Bike,low
3,17.570411,78.310647,ORR,Fatal,2024-08-14,18:00,2024-08-14 18:00:00,Fog,Car,high
4,17.36441,78.442288,Banjara Hills Rd 1,Severe,2022-03-01,22:00,2022-03-01 22:00:00,Rain,Car,medium
5,17.384544,78.420669,Banjara Hills Rd 1,Severe,2022-05-23,14:00,2022-05-23 14:00:00,Rain,Car,medium
6,17.217784,78.280672,ORR,Severe,2024-12-23,13:00,2024-12-23 13:00:00,Fog,Truck,high
7,17.224481,78.470636,Necklace Road,Severe,2023-02-23,07:00,2023-02-23 07:00:00,Fog,Car,low
8,17.530898,78.305176,ORR,Minor,2024-11-26,19:00,2024-11-26 19:00:00,Fog,Auto,high
9,17.386509,78.48781,Necklace Road,Severe,2022-04-11,00:00,2022-04-11 00:00:00,Rain,Bus,low
10,17.335804,78.271751,ORR,Severe,2023-04-21,03:00,2023-04-21 03:00:00,Fog,Car,high
11,17.512138,78.471549,Necklace Road,Minor,2024-04-24,06:00,2024-04-24 06:00:00,Rain,Car,low
12,17.470165,78.472552,Necklace Road,Severe,2022-09-24,02:00,2022-09-24 02:00:00,Rain,Car,low
13,17.44697,78.449607,Banjara Hills Rd 1,Minor,2023-09-19,18:00,2023-09-19 18:00:00,Fog,Auto,medium
14,17.426893,78.488724,Necklace Road,Minor,2024-03-01,13:00,2024-03-01 13:00:00,Fog,Truck,low
15,17.49119,78.27063,ORR,Minor,2025-02-15,08:00,2025-02-15 08:00:00,Rain,Auto,high
16,17.416162,78.471995,Necklace Road,Minor,2022-02-12,11:00,2022-02-12 11:00:00,Rain,Car,low
17,17.469395,78.426902,Banjara Hills Rd 1,Severe,2022-06-12,23:00,2022-06-12 23:00:00,Rain,Bike,medium
18,17.57514,78.484234,Necklace Road,Severe,2023-07-23,00:00,2023-07-23 00:00:00,Rain,Truck,low
19,17.253718,78.264759,ORR,Minor,2023-12-03,21:00,2023-12-03 21:00:00,Fog,Bus,high
20,17.492197,78.20001,ORR,Minor,2022-01-13,19:00,2022-01-13 19:00:00,Rain,Bike,high
21,17.563446,78.232019,ORR,Minor,2023-10-10,13:00,2023-10-10 13:00:00,Rain,Car,high
22,17.262441,78.332996,ORR,Severe,2022-03-21,19:00,2022-03-21 19:00:00,Clear,Auto,high
23,17.432325,78.449923,Banjara Hills Rd 1,Severe,2022-09-08,00:00,2022-09-08 00:00:00,Clear,Truck,medium
24,17.453887,78.418717,Banjara Hills Rd 1,Minor,2023-01-25,07:00,2023-01-25 07:00:00,Clear,Auto,medium
25,17.310034,78.367309,Banjara Hills Rd 1,Severe,2024-07-13,18:00,2024-07-13 18:00:00,Rain,Bus,medium
26,17.22001,78.311087,ORR,Minor,2024-07-07,10:00,2024-07-07 10:00:00,Fog,Car,high
27,17.227437,78.332683,ORR,Severe,2024-10-12,13:00,2024-10-12 13:00:00,Clear,Bike,high
28,17.230262,78.253208,ORR,Fatal,2022-07-11,00:00,2022-07-11 00:00:00,Clear,Auto,high
29,17.453228,78.354267,ORR,Severe,2023-03-18,09:00,2023-03-18 09:00:00,Rain,Auto,high
30,17.474242,78.535552,Necklace Road,Severe,2023-05-16,12:00,2023-05-16 12:00:00,Rain,Truck,low
31,17.510543,78.427133,Banjara Hills Rd 1,Minor,2022-08-24,03:00,2022-08-24 03:00:00,Fog,Auto,medium
32,17.269165,78.502459,Necklace Road,Severe,2023-09-04,20:00,2023-09-04 20:00:00,Fog,Bus,low
33,17.527114,78.530469,Necklace Road,Minor,2022-01-02,21:00,2022-01-02 21:00:00,Clear,Bike,low
34,17.441486,78.243836,ORR,Minor,2023-03-01,15:00,2023-03-01 15:00:00,Rain,Auto,high
35,17.462352,78.560305,Necklace Road,Severe,2022-09-14,10:00,2022-09-14 10:00:00,Clear,Bike,low
36,17.465522,78.468433,Necklace Road,Severe,2024-01-25,11:00,2024-01-25 11:00:00,Fog,Truck,low
37,17.429285,78.462174,Necklace Road,Severe,2024-11-21,14:00,2024-11-21 14:00:00,Clear,Bus,low
38,17.51022,78.320229,ORR,Minor,2023-09-05,10:00,2023-09-05 10:00:00,Clear,Truck,high
39,17.469867,78.205519,ORR,Minor,2022-03-25,04:00,2022-03-25 04:00:00,Clear,Bike,high
40,17.266396,78.569623,Necklace Road,Severe,2024-05-15,06:00,2024-05-15 06:00:00,Fog,Bike,low
41,17.380814,78.527045,Necklace Road,Minor,2022-08-22,10:00,2022-08-22 10:00:00,Fog,Car,low
