id,latitude,longitude,road_name,severity,date,time,datetime,weather,vehicle_type,road_risk_level
1,22.459848,88.361745,AJC Bose Road,Fatal,2022-11-04,01:00,2022-11-04 01:00:00,Fog,Car,high
2,22.692541,88.209956,Park Street,Minor,2023-12-09,00:00,2023-12-09 00:00:00,Fog,Truck,medium
3,22.644485,88.376914,EM Bypass,Minor,2024-10-11,07:00,2024-10-11 07:00:00,Fog,Truck,high
4,22.568337,88.326718,Park Street,Minor,2023-09-02,01:00,2023-09-02 01:00:00,Rain,Car,medium
5,22.641847,88.381884,EM Bypass,Minor,2024-11-05,22:00,2024-11-05 22:00:00,Fog,Car,high
6,22.48522,88.321126,AJC Bose Road,Minor,2022-09-05,02:00,2022-09-05 02:00:00,Clear,Car,high
7,22.537913,88.323836,AJC Bose Road,Minor,2023-07-16,23:00,2023-07-16 23:00:00,Rain,Car,high
8,22.686595,88.399393,EM Bypass,Fatal,2024-08-31,15:00,2024-08-31 15:00:00,Fog,Auto,high
9,22.615566,88.245733,Park Street,Severe,2022-09-02,13:00,2022-09-02 13:00:00,Clear,Auto,medium
10,22.605036,88.211938,Park Street,Severe,2022-07-06,20:00,2022-07-06 20:00:00,Rain,Bike,medium
11,22.408139,88.322983,AJC Bose Road,Minor,2023-12-27,21:00,2023-12-27 21:00:00,Rain,Car,high
12,22.470344,88.318475,AJC Bose Road,Minor,2022-06-05,06:00,2022-06-05 06:00:00,Clear,Auto,high
13,22.672696,88.400666,EM Bypass,Severe,2023-01-27,15:00,2023-01-27 15:00:00,Clear,Auto,high
14,22.524367,88.453597,EM Bypass,Minor,2024-07-31,01:00,2024-07-31 01:00:00,Rain,Bike,high
15,22.535434,88.290362,AJC Bose Road,Severe,2025-01-09,08:00,2025-01-09 08:00:00,Clear,Bike,high
16,22.643283,88.434764,EM Bypass,Minor,2024-04-09,14:00,2024-04-09 14:00:00,Fog,Bike,high
17,22.453114,88.383374,AJC Bose Road,Fatal,2022-01-31,21:00,2022-01-31 21:00:00,Clear,Truck,high
18,22.563456,88.315626,Park Street,Fatal,2024-03-06,19:00,2024-03-06 19:00:00,Rain,Car,medium
19,22.48019,88.366839,AJC Bose Road,Minor,2022-03-11,16:00,2022-03-11 16:00:00,Rain,Truck,high
20,22.648231,88.411475,EM Bypass,Minor,2023-01-28,15:00,2023-01-28 15:00:00,Rain,Auto,high
21,22.641019,88.468147,EM Bypass,Minor,2023-12-28,14:00,2023-12-28 14:00:00,Clear,Auto,high
22,22.421859,88.374025,AJC Bose Road,Severe,2022-05-05,09:00,2022-05-05 09:00:00,Clear,Bike,high
23,22.582986,88.286863,Park Street,Fatal,2024-09-20,06:00,2024-09-20 06:00:00,Clear,Truck,medium
24,22.542146,88.249395,Park Street,Minor,2024-08-13,11:00,2024-08-13 11:00:00,Rain,Bike,medium
25,22.691684,88.380487,EM Bypass,Minor,2024-08-04,15:00,2024-08-04 15:00:00,Fog,Bike,high
26,22.628792,88.377574,EM Bypass,Minor,2024-12-20,11:00,2024-12-20 11:00:00,Fog,Auto,high
27,22.494643,88.492238,EM Bypass,Minor,2024-02-24,17:00,2024-02-24 17:00:00,Clear,Car,high
28,22.63079,88.274384,Park Street,Severe,2023-03-20,20:00,2023-03-20 20:00:00,Fog,Car,medium
29,22.449438,88.268509,AJC Bose Road,Severe,2023-05-14,20:00,2023-05-14 20:00:00,Fog,Auto,high
30,22.542201,88.296251,Park Street,Severe,2022-07-08,11:00,2022-07-08 11:00:00,Clear,Truck,medium
31,22.419317,88.310364,AJC Bose Road,Severe,2024-11-11,23:00,2024-11-11 23:00:00,Fog,Auto,high
32,22.542294,88.440962,EM Bypass,Fatal,2022-12-16,09:00,2022-12-16 09:00:00,Rain,Auto,high
33,22.578646,88.267103,Park Street,Minor,2022-04-28,01:00,2022-04-28 01:00:00,Clear,Truck,medium
34,22.617531,88.294685,Park Street,Minor,2022-11-28,01:00,2022-11-28 01:00:00,Fog,Bike,medium
35,22.505115,88.233239,AJC Bose Road,Minor,2024-07-31,02:00,2024-07-31 02:00:00,Clear,Bike,high
36,22.423409,88.23046,AJC Bose Road,Minor,2023-01-30,04:00,2023-01-30 04:00:00,Clear,Auto,high
37,22.68123,88.384248,EM Bypass,Fatal,2023-04-02,20:00,2023-04-02 20:00:00,Clear,Bus,high
38,22.403454,88.206231,AJC Bose Road,Minor,2024-11-26,11:00,2024-11-26 11:00:00,Rain,Bike,high
39,22.624284,88.344232,Park Street,Fatal,2024-03-25,11:00,2024-03-25 11:00:00,Fog,Bike,medium
40,22.460049,88.33137,AJC Bose Road,Minor,2025-02-01,01:00,2025-02-01 01:00:00,Rain,Bike,high
41,22.574229,88.208361,Park Street,Severe,2024-08-06,13:00,2024-08-06 13:00:00,Fog,Bus,medium
42,22.464831,88.413777,AJC Bose Road,Severe,2022-06-18,15:00,2022-06-18 15:00:00,Fog,Auto,high
43,22.415844,88.203608,AJC Bose Road,Minor,2022-08-11,17:00,2022-08-11 17:00:00,Fog,Car,high
44,22.681957,88.304039,Park Street,Fatal,2022-06-09,17:00,2022-06-09 17:00:00,Rain,Bike,medium
45,22.555692,88.47553,EM Bypass,Fatal,2023-05-23,21:00,2023-05-23 21:00:00,Rain,Auto,high
46,22.410099,88.480776,EM Bypass,Minor,2023-02-27,21:00,2023-02-27 21:00:00,Fog,Car,high
47,22.450379,88.232242,AJC Bose Road,Minor,2022-05-22,08:00,2022-05-22 08:00:00,Clear,Bike,high
48,22.626785,88.286183,Park Street,Minor,2022-11-19,07:00,2022-11-19 07:00:00,Rain,Auto,medium
49,22.566676,88.461604,EM Bypass,Minor,2022-02-20,19:00,2022-02-20 19:00:00,Rain,Bike,high
50,22.602764,88.310036,Park Street,Severe,2023-02-03,13:00,2023-02-03 13:00:00,Rain,Car,medium
51,22.472822,88.343699,AJC Bose Road,Severe,2022-03-08,12:00,2022-03-08 12:00:00,Rain,Bus,high
52,22.4837,88.332035,AJC Bose Road,Severe,2022-02-11,20:00,2022-02-11 20:00:00,Clear,Auto,high
53,22.582338,88.4844,EM Bypass,Minor,2024-08-28,18:00,2024-08-28 18:00:00,Rain,Truck,high
54,22.44045,88.280446,AJC Bose Road,Minor,2024-05-19,22:00,2024-05-19 22:00:00,Fog,Truck,high
55,22.613843,88.254254,Park Street,Minor,2024-09-01,03:00,2024-09-01 03:00:00,Clear,Auto,medium
56,22.565839,88.272514,Park Street,Severe,2022-11-14,11:00,2022-11-14 11:00:00,Rain,Car,medium
57,22.564509,88.414116,EM Bypass,Severe,2022-10-17,12:00,2022-10-17 12:00:00,Clear,Bus,high
58,22.559989,88.4151,EM Bypass,Minor,2024-10-18,12:00,2024-10-18 12:00:00,Rain,Truck,high
59,22.560204,88.468459,EM Bypass,Severe,2024-02-09,02:00,2024-02-09 02:00:00,Fog,Bike,high
60,22.631425,88.259076,Park Street,Minor,2022-07-19,01:00,2022-07-19 01:00:00,Clear,Bus,medium
61,22.445287,88.427148,AJC Bose Road,Severe,2024-05-05,09:00,2024-05-05 09:00:00,Fog,Auto,high
62,22.651052,88.416992,EM Bypass,Minor,2024-01-12,09:00,2024-01-12 09:00:00,Rain,Truck,high
