segment_id,road_name,start_lat,start_lon,end_lat,end_lon,risk_level,avg_traffic,speed_limit,lanes
kolkata_Park_Street_0,Park Street,22.5516,88.3519,22.5536,88.3539,medium,783,50,2
kolkata_Park_Street_1,Park Street,22.5536,88.3539,22.555600000000002,88.3559,medium,3633,60,2
kolkata_Park_Street_2,Park Street,22.555600000000002,88.3559,22.5576,88.3579,medium,4587,50,2
kolkata_Park_Street_3,Park Street,22.5576,88.3579,22.5596,88.3599,medium,2271,60,2
kolkata_Park_Street_4,Park Street,22.5596,88.3599,22.561600000000002,88.3619,medium,1426,60,3
kolkata_Park_Street_5,Park Street,22.561600000000002,88.3619,22.5636,88.3639,medium,2525,60,4
kolkata_Park_Street_6,Park Street,22.5636,88.3639,22.5656,88.3659,medium,1898,80,6
kolkata_Park_Street_7,Park Street,22.5656,88.3659,22.5676,88.3679,medium,3342,80,4
kolkata_Park_Street_8,Park Street,22.5676,88.3679,22.5696,88.3699,medium,659,50,2
kolkata_Park_Street_9,Park Street,22.5696,88.3699,22.5716,88.3719,medium,2633,80,2
kolkata_Park_Street_10,Park Street,22.5716,88.3719,22.5736,88.3739,medium,1519,50,4
kolkata_AJC_Bose_Road_0,AJC Bose Road,22.5401,88.3533,22.542099999999998,88.3553,high,3590,40,3
kolkata_AJC_Bose_Road_1,AJC Bose Road,22.542099999999998,88.3553,22.5441,88.35730000000001,high,3658,50,6
kolkata_AJC_Bose_Road_2,AJC Bose Road,22.5441,88.35730000000001,22.5461,88.3593,high,915,40,4
kolkata_AJC_Bose_Road_3,AJC Bose Road,22.5461,88.3593,22.548099999999998,88.3613,high,3526,60,6
kolkata_AJC_Bose_Road_4,AJC Bose Road,22.548099999999998,88.3613,22.5501,88.36330000000001,high,1092,80,6
kolkata_AJC_Bose_Road_5,AJC Bose Road,22.5501,88.36330000000001,22.5521,88.3653,high,4274,80,6
kolkata_AJC_Bose_Road_6,AJC Bose Road,22.5521,88.3653,22.5541,88.3673,high,4774,40,2
kolkata_AJC_Bose_Road_7,AJC Bose Road,22.5541,88.3673,22.556099999999997,88.36930000000001,high,4437,80,3
kolkata_EM_Bypass_0,EM Bypass,22.5694,88.4116,22.5714,88.4136,high,3151,80,4
kolkata_EM_Bypass_1,EM Bypass,22.5714,88.4136,22.573400000000003,88.41560000000001,high,3674,80,4
kolkata_EM_Bypass_2,EM Bypass,22.573400000000003,88.41560000000001,22.575400000000002,88.41760000000001,high,4529,40,4
kolkata_EM_Bypass_3,EM Bypass,22.575400000000002,88.41760000000001,22.5774,88.4196,high,2224,80,3
kolkata_EM_Bypass_4,EM Bypass,22.5774,88.4196,22.579400000000003,88.42160000000001,high,3180,40,6
kolkata_EM_Bypass_5,EM Bypass,22.579400000000003,88.42160000000001,22.581400000000002,88.42360000000001,high,3911,60,6
kolkata_EM_Bypass_6,EM Bypass,22.581400000000002,88.42360000000001,22.5834,88.4256,high,1032,50,4
kolkata_EM_Bypass_7,EM Bypass,22.5834,88.4256,22.5854,88.42760000000001,high,879,50,3
kolkata_EM_Bypass_8,EM Bypass,22.5854,88.42760000000001,22.587400000000002,88.42960000000001,high,1001,40,6
