id,latitude,longitude,road_name,severity,date,time,datetime,weather,vehicle_type,road_risk_level
1,18.817732,72.790846,Marine Drive,Severe,2023-05-21,04:00,2023-05-21 04:00:00,Clear,Truck,low
2,19.096889,72.819424,SV Road Andheri,Minor,2024-07-10,13:00,2024-07-10 13:00:00,Fog,Bus,medium
3,19.132036,72.76057,SV Road Andheri,Severe,2023-11-28,09:00,2023-11-28 09:00:00,Rain,Car,medium
4,18.876038,72.816062,Marine Drive,Minor,2024-01-09,08:00,2024-01-09 08:00:00,Rain,Truck,low
5,19.277812,72.889938,Ghodbunder Road,Minor,2024-12-31,07:00,2024-12-31 07:00:00,Clear,Bike,high
6,18.945509,72.865677,Marine Drive,Minor,2024-11-19,22:00,2024-11-19 22:00:00,Rain,Auto,low
7,19.090552,72.9844,Sion-Panvel Highway,Minor,2023-03-14,21:00,2023-03-14 21:00:00,Rain,Truck,medium
8,19.232608,72.869852,Ghodbunder Road,Severe,2023-06-04,06:00,2023-06-04 06:00:00,Fog,Truck,high
9,19.061169,72.872827,LBS Marg,Minor,2024-04-17,14:00,2024-04-17 14:00:00,Clear,Auto,medium
10,19.264702,72.886613,Ghodbunder Road,Severe,2022-09-22,10:00,2022-09-22 10:00:00,Clear,Truck,high
11,18.811624,72.877651,Marine Drive,Minor,2022-02-27,05:00,2022-02-27 05:00:00,Fog,Bus,low
12,19.208566,72.896859,Ghodbunder Road,Severe,2023-05-26,06:00,2023-05-26 06:00:00,Fog,Auto,high
13,18.803193,72.982741,Marine Drive,Minor,2022-09-28,04:00,2022-09-28 04:00:00,Fog,Bike,low
14,19.250366,72.762997,SV Road Andheri,Severe,2024-06-06,22:00,2024-06-06 22:00:00,Fog,Car,medium
15,18.990602,72.799954,Worli Sea Link,Severe,2024-12-09,20:00,2024-12-09 20:00:00,Rain,Bus,medium
16,18.838523,72.976824,Marine Drive,Minor,2023-11-22,22:00,2023-11-22 22:00:00,Rain,Truck,low
17,19.257558,72.75368,SV Road Andheri,Severe,2024-02-13,10:00,2024-02-13 10:00:00,Fog,Truck,medium
18,19.090344,72.902108,LBS Marg,Fatal,2022-03-28,10:00,2022-03-28 10:00:00,Clear,Auto,medium
19,18.849144,72.726339,Marine Drive,Severe,2023-02-28,08:00,2023-02-28 08:00:00,Fog,Auto,low
20,19.05988,72.748749,Worli Sea Link,Severe,2022-11-04,02:00,2022-11-04 02:00:00,Clear,Car,medium
21,19.093036,72.876566,Eastern Express Highway,Fatal,2024-04-20,09:00,2024-04-20 09:00:00,Rain,Auto,high
22,18.845526,72.792846,Marine Drive,Severe,2024-05-06,15:00,2024-05-06 15:00:00,Fog,Bus,low
23,18.960845,72.922053,Sion-Panvel Highway,Minor,2024-09-24,21:00,2024-09-24 21:00:00,Clear,Bus,medium
24,19.147537,72.781967,SV Road Andheri,Minor,2023-10-19,06:00,2023-10-19 06:00:00,Rain,Bike,medium
25,19.000379,72.96346,Sion-Panvel Highway,Minor,2023-10-26,17:00,2023-10-26 17:00:00,Rain,Bike,medium
26,18.844068,72.948507,Marine Drive,Severe,2023-01-06,07:00,2023-01-06 07:00:00,Rain,Bike,low
27,19.150088,72.702839,SV Road Andheri,Severe,2023-10-20,20:00,2023-10-20 20:00:00,Fog,Bike,medium
28,19.035655,72.955069,Sion-Panvel Highway,Minor,2022-01-01,06:00,2022-01-01 06:00:00,Clear,Bus,medium
29,19.115596,72.802382,SV Road Andheri,Severe,2022-07-04,07:00,2022-07-04 07:00:00,Clear,Bike,medium
