segment_id,road_name,start_lat,start_lon,end_lat,end_lon,risk_level,avg_traffic,speed_limit,lanes
mumbai_Western_Express_Highway_0,Western Express Highway,19.1136,72.8697,19.1156,72.87169999999999,high,1000,40,2
mumbai_Western_Express_Highway_1,Western Express Highway,19.1156,72.87169999999999,19.117600000000003,72.8737,high,4712,80,3
mumbai_Western_Express_Highway_2,Western Express Highway,19.117600000000003,72.8737,19.119600000000002,72.8757,high,3298,60,4
mumbai_Western_Express_Highway_3,Western Express Highway,19.119600000000002,72.8757,19.1216,72.87769999999999,high,1127,50,6
mumbai_Western_Express_Highway_4,Western Express Highway,19.1216,72.87769999999999,19.123600000000003,72.8797,high,2742,80,2
mumbai_Western_Express_Highway_5,Western Express Highway,19.123600000000003,72.8797,19.125600000000002,72.8817,high,1847,80,4
mumbai_Western_Express_Highway_6,Western Express Highway,19.125600000000002,72.8817,19.1276,72.88369999999999,high,4438,80,4
mumbai_Western_Express_Highway_7,Western Express Highway,19.1276,72.88369999999999,19.1296,72.8857,high,1984,50,4
mumbai_Western_Express_Highway_8,Western Express Highway,19.1296,72.8857,19.131600000000002,72.8877,high,4506,50,4
mumbai_Western_Express_Highway_9,Western Express Highway,19.131600000000002,72.8877,19.1336,72.88969999999999,high,1009,50,3
mumbai_Eastern_Express_Highway_0,Eastern Express Highway,19.1076,72.8856,19.1096,72.88759999999999,high,1441,50,6
mumbai_Eastern_Express_Highway_1,Eastern Express Highway,19.1096,72.88759999999999,19.111600000000003,72.8896,high,3047,40,6
mumbai_Eastern_Express_Highway_2,Eastern Express Highway,19.111600000000003,72.8896,19.1136,72.8916,high,1699,50,6
mumbai_Eastern_Express_Highway_3,Eastern Express Highway,19.1136,72.8916,19.1156,72.89359999999999,high,4087,40,6
mumbai_Eastern_Express_Highway_4,Eastern Express Highway,19.1156,72.89359999999999,19.117600000000003,72.8956,high,2072,80,2
mumbai_Eastern_Express_Highway_5,Eastern Express Highway,19.117600000000003,72.8956,19.119600000000002,72.8976,high,2299,60,2
mumbai_Eastern_Express_Highway_6,Eastern Express Highway,19.119600000000002,72.8976,19.1216,72.89959999999999,high,3846,40,4
mumbai_Eastern_Express_Highway_7,Eastern Express Highway,19.1216,72.89959999999999,19.1236,72.9016,high,4822,40,2
mumbai_Eastern_Express_Highway_8,Eastern Express Highway,19.1236,72.9016,19.125600000000002,72.9036,high,2396,40,4
mumbai_Eastern_Express_Highway_9,Eastern Express Highway,19.125600000000002,72.9036,19.1276,72.90559999999999,high,2452,50,6
mumbai_Eastern_Express_Highway_10,Eastern Express Highway,19.1276,72.90559999999999,19.1296,72.9076,high,3366,60,4
mumbai_Eastern_Express_Highway_11,Eastern Express Highway,19.1296,72.9076,19.131600000000002,72.9096,high,3845,50,4
mumbai_Sion-Panvel_Highway_0,Sion-Panvel Highway,19.0433,72.9265,19.045299999999997,72.9285,medium,829,60,2
mumbai_Sion-Panvel_Highway_1,Sion-Panvel Highway,19.045299999999997,72.9285,19.0473,72.93050000000001,medium,3091,50,2
mumbai_Sion-Panvel_Highway_2,Sion-Panvel Highway,19.0473,72.93050000000001,19.0493,72.9325,medium,4834,80,6
mumbai_Sion-Panvel_Highway_3,Sion-Panvel Highway,19.0493,72.9325,19.051299999999998,72.9345,medium,3373,40,3
mumbai_Sion-Panvel_Highway_4,Sion-Panvel Highway,19.051299999999998,72.9345,19.0533,72.93650000000001,medium,4872,50,6
mumbai_Sion-Panvel_Highway_5,Sion-Panvel Highway,19.0533,72.93650000000001,19.0553,72.9385,medium,3158,60,4
mumbai_Sion-Panvel_Highway_6,Sion-Panvel Highway,19.0553,72.9385,19.057299999999998,72.9405,medium,729,50,4
mumbai_Sion-Panvel_Highway_7,Sion-Panvel Highway,19.057299999999998,72.9405,19.059299999999997,72.94250000000001,medium,2355,60,2
