id,latitude,longitude,road_name,severity,date,time,datetime,weather,vehicle_type,road_risk_level
1,18.680827,73.930388,Viman Nagar Road,Fatal,2023-10-22,05:00,2023-10-22 05:00:00,Fog,Bike,medium
2,18.532452,73.841799,Shivajinagar Road,Severe,2024-03-25,08:00,2024-03-25 08:00:00,Rain,Bus,medium
3,18.497326,73.919761,Hadapsar Bypass,Minor,2023-12-04,06:00,2023-12-04 06:00:00,Rain,Bike,high
4,18.482992,73.944129,Hadapsar Bypass,Severe,2024-02-29,09:00,2024-02-29 09:00:00,Clear,Bus,high
5,18.560997,73.811173,Baner Road,Severe,2024-08-17,23:00,2024-08-17 23:00:00,Fog,Bike,medium
6,18.442448,73.878574,Hadapsar Bypass,Severe,2024-03-03,14:00,2024-03-03 14:00:00,Fog,Bus,high
7,18.528017,73.850369,Shivajinagar Road,Minor,2023-09-05,06:00,2023-09-05 06:00:00,Rain,Auto,medium
8,18.549441,73.804096,Baner Road,Minor,2025-04-14,05:00,2025-04-14 05:00:00,Fog,Truck,medium
9,18.499609,73.81264,Kothrud Road,Minor,2024-06-14,06:00,2024-06-14 06:00:00,Rain,Car,medium
10,18.537548,73.723176,Hinjewadi IT Park Road,Severe,2022-10-14,23:00,2022-10-14 23:00:00,Rain,Bus,high
11,18.467712,73.954984,Hadapsar Bypass,Minor,2025-03-14,09:00,2025-03-14 09:00:00,Fog,Truck,high
12,18.687205,73.858717,Pimpri-Chinchwad Link,Severe,2023-03-22,17:00,2023-03-22 17:00:00,Clear,Truck,high
13,18.671835,73.77906,Pimpri-Chinchwad Link,Minor,2023-06-09,13:00,2023-06-09 13:00:00,Rain,Truck,high
14,18.613759,73.739609,Hinjewadi IT Park Road,Severe,2022-11-08,17:00,2022-11-08 17:00:00,Clear,Bike,high
15,18.445959,73.866259,Deccan Road,Severe,2022-12-05,13:00,2022-12-05 13:00:00,Clear,Bus,low
16,18.571932,73.724503,Hinjewadi IT Park Road,Severe,2025-01-21,03:00,2025-01-21 03:00:00,Clear,Bike,high
17,18.697073,73.828047,Pimpri-Chinchwad Link,Minor,2022-11-28,04:00,2022-11-28 04:00:00,Clear,Bike,high
18,18.479329,73.88208,Hadapsar Bypass,Fatal,2022-11-06,22:00,2022-11-06 22:00:00,Clear,Bus,high
19,18.522797,73.933778,Hadapsar Bypass,Fatal,2022-05-17,20:00,2022-05-17 20:00:00,Fog,Auto,high
20,18.435528,73.934128,Hadapsar Bypass,Severe,2023-05-20,11:00,2023-05-20 11:00:00,Rain,Car,high
21,18.62914,73.851101,Pimpri-Chinchwad Link,Minor,2025-01-01,10:00,2025-01-01 10:00:00,Rain,Bus,high
22,18.616196,73.705131,Hinjewadi IT Park Road,Severe,2024-10-18,08:00,2024-10-18 08:00:00,Fog,Auto,high
23,18.441514,73.89283,Hadapsar Bypass,Minor,2025-01-28,19:00,2025-01-28 19:00:00,Rain,Truck,high
24,18.627045,73.919901,Viman Nagar Road,Severe,2024-04-23,15:00,2024-04-23 15:00:00,Rain,Car,medium
25,18.533492,73.818053,Shivajinagar Road,Severe,2023-09-10,23:00,2023-09-10 23:00:00,Rain,Truck,medium
26,18.449045,73.963577,Hadapsar Bypass,Severe,2022-12-17,20:00,2022-12-17 20:00:00,Rain,Auto,high
27,18.618088,73.989576,Viman Nagar Road,Minor,2024-06-01,08:00,2024-06-01 08:00:00,Fog,Bus,medium
