segment_id,road_name,start_lat,start_lon,end_lat,end_lon,risk_level,avg_traffic,speed_limit,lanes
pune_Shivajinagar_Road_0,Shivajinagar Road,18.5304,73.8467,18.5324,73.8487,medium,2929,50,4
pune_Shivajinagar_Road_1,Shivajinagar Road,18.5324,73.8487,18.5344,73.8507,medium,638,50,6
pune_Shivajinagar_Road_2,Shivajinagar Road,18.5344,73.8507,18.5364,73.8527,medium,858,80,4
pune_Shivajinagar_Road_3,Shivajinagar Road,18.5364,73.8527,18.5384,73.8547,medium,970,80,3
pune_Shivajinagar_Road_4,Shivajinagar Road,18.5384,73.8547,18.5404,73.8567,medium,3648,80,6
pune_Shivajinagar_Road_5,Shivajinagar Road,18.5404,73.8567,18.5424,73.8587,medium,3808,40,4
pune_Shivajinagar_Road_6,Shivajinagar Road,18.5424,73.8587,18.5444,73.8607,medium,2408,50,4
pune_Shivajinagar_Road_7,Shivajinagar Road,18.5444,73.8607,18.5464,73.8627,medium,3505,60,2
pune_Shivajinagar_Road_8,Shivajinagar Road,18.5464,73.8627,18.5484,73.8647,medium,3217,40,4
pune_Shivajinagar_Road_9,Shivajinagar Road,18.5484,73.8647,18.5504,73.8667,medium,1857,40,4
pune_Shivajinagar_Road_10,Shivajinagar Road,18.5504,73.8667,18.5524,73.8687,medium,2348,50,2
pune_Shivajinagar_Road_11,Shivajinagar Road,18.5524,73.8687,18.5544,73.8707,medium,1970,50,4
pune_Koregaon_Park_Road_0,Koregaon Park Road,18.5362,73.8958,18.5382,73.89779999999999,low,815,40,3
pune_Koregaon_Park_Road_1,Koregaon Park Road,18.5382,73.89779999999999,18.540200000000002,73.8998,low,2987,40,6
pune_Koregaon_Park_Road_2,Koregaon Park Road,18.540200000000002,73.8998,18.5422,73.9018,low,3184,40,3
pune_Koregaon_Park_Road_3,Koregaon Park Road,18.5422,73.9018,18.5442,73.90379999999999,low,915,40,3
pune_Koregaon_Park_Road_4,Koregaon Park Road,18.5442,73.90379999999999,18.546200000000002,73.9058,low,1668,40,2
pune_Koregaon_Park_Road_5,Koregaon Park Road,18.546200000000002,73.9058,18.5482,73.9078,low,2205,80,3
pune_Koregaon_Park_Road_6,Koregaon Park Road,18.5482,73.9078,18.5502,73.90979999999999,low,2958,50,3
pune_Koregaon_Park_Road_7,Koregaon Park Road,18.5502,73.90979999999999,18.5522,73.9118,low,4423,80,2
pune_Viman_Nagar_Road_0,Viman Nagar Road,18.5679,73.9143,18.5699,73.91629999999999,medium,1486,60,3
pune_Viman_Nagar_Road_1,Viman Nagar Road,18.5699,73.91629999999999,18.571900000000003,73.9183,medium,3783,60,2
pune_Viman_Nagar_Road_2,Viman Nagar Road,18.571900000000003,73.9183,18.573900000000002,73.9203,medium,3900,40,4
pune_Viman_Nagar_Road_3,Viman Nagar Road,18.573900000000002,73.9203,18.5759,73.92229999999999,medium,1487,60,4
pune_Viman_Nagar_Road_4,Viman Nagar Road,18.5759,73.92229999999999,18.577900000000003,73.9243,medium,1892,80,3
pune_Viman_Nagar_Road_5,Viman Nagar Road,18.577900000000003,73.9243,18.579900000000002,73.9263,medium,2396,60,4
pune_Viman_Nagar_Road_6,Viman Nagar Road,18.579900000000002,73.9263,18.5819,73.9283,medium,3773,50,3
pune_Viman_Nagar_Road_7,Viman Nagar Road,18.5819,73.9283,18.5839,73.9303,medium,4753,40,4
pune_Viman_Nagar_Road_8,Viman Nagar Road,18.5839,73.9303,18.585900000000002,73.9323,medium,1570,50,4
pune_Viman_Nagar_Road_9,Viman Nagar Road,18.585900000000002,73.9323,18.5879,73.9343,medium,1223,60,6
pune_Hinjewadi_IT_Park_Road_0,Hinjewadi IT Park Road,18.5912,73.7389,18.5932,73.7409,high,4288,80,2
pune_Hinjewadi_IT_Park_Road_1,Hinjewadi IT Park Road,18.5932,73.7409,18.595200000000002,73.7429,high,567,80,2
pune_Hinjewadi_IT_Park_Road_2,Hinjewadi IT Park Road,18.595200000000002,73.7429,18.5972,73.7449,high,2004,80,6
pune_Hinjewadi_IT_Park_Road_3,Hinjewadi IT Park Road,18.5972,73.7449,18.5992,73.7469,high,4916,40,6
pune_Hinjewadi_IT_Park_Road_4,Hinjewadi IT Park Road,18.5992,73.7469,18.601200000000002,73.7489,high,4164,80,6
pune_Hinjewadi_IT_Park_Road_5,Hinjewadi IT Park Road,18.601200000000002,73.7489,18.6032,73.7509,high,2444,80,3
pune_Hinjewadi_IT_Park_Road_6,Hinjewadi IT Park Road,18.6032,73.7509,18.6052,73.7529,high,1867,50,6
pune_Hinjewadi_IT_Park_Road_7,Hinjewadi IT Park Road,18.6052,73.7529,18.6072,73.7549,high,4958,80,4
pune_Kothrud_Road_0,Kothrud Road,18.5074,73.8077,18.5094,73.80969999999999,medium,4734,80,4
pune_Kothrud_Road_1,Kothrud Road,18.5094,73.80969999999999,18.511400000000002,73.8117,medium,2530,80,4
pune_Kothrud_Road_2,Kothrud Road,18.511400000000002,73.8117,18.5134,73.8137,medium,661,50,4
pune_Kothrud_Road_3,Kothrud Road,18.5134,73.8137,18.5154,73.81569999999999,medium,1220,60,4
pune_Kothrud_Road_4,Kothrud Road,18.5154,73.81569999999999,18.517400000000002,73.8177,medium,1073,80,4
pune_Kothrud_Road_5,Kothrud Road,18.517400000000002,73.8177,18.5194,73.8197,medium,1074,40,2
pune_Kothrud_Road_6,Kothrud Road,18.5194,73.8197,18.5214,73.82169999999999,medium,1807,80,3
pune_Kothrud_Road_7,Kothrud Road,18.5214,73.82169999999999,18.5234,73.8237,medium,721,40,3
pune_Kothrud_Road_8,Kothrud Road,18.5234,73.8237,18.5254,73.8257,medium,1494,40,3
pune_Kothrud_Road_9,Kothrud Road,18.5254,73.8257,18.5274,73.8277,medium,2397,40,3
pune_Hadapsar_Bypass_0,Hadapsar Bypass,18.5089,73.926,18.5109,73.928,high,4500,60,6
pune_Hadapsar_Bypass_1,Hadapsar Bypass,18.5109,73.928,18.512900000000002,73.93,high,4636,40,2
